lga_name,lga_name_upper,school_count
Alpine,ALPINE,11
Ararat,ARARAT,12
Ballarat,BALLARAT,48
Banyule,BANYULE,42
Bass Coast,BASS COAST,15
Baw Baw,BAW BAW,37
Bayside,BAYSIDE,28
Benalla,BENALLA,7
Boroondara,BOROONDARA,57
Brimbank,BRIMBANK,59
Buloke,BULOKE,9
Campaspe,CAMPASPE,23
Cardinia,CARDINIA,42
Casey,CASEY,95
Central Goldfields,CENTRAL GOLDFIELDS,8
Colac Otway,COLAC OTWAY,17
Corangamite,CORANGAMITE,14
Darebin,DAREBIN,44
East Gippsland,EAST GIPPSLAND,33
Frankston,FRANKSTON,42
Gannawarra,GANNAWARRA,11
Glen Eira,GLEN EIRA,34
Glenelg,GLENELG,18
Golden Plains,GOLDEN PLAINS,13
Greater Bendigo,GREATER BENDIGO,51
Greater Dandenong,GREATER DANDENONG,43
Greater Geelong,GREATER GEELONG,85
Greater Shepparton,GREATER SHEPPARTON,39
Hepburn,HEPBURN,13
Hindmarsh,HINDMARSH,8
Hobsons Bay,HOBSONS BAY,29
Horsham,HORSHAM,8
Hume,HUME,72
Indigo,INDIGO,17
Kingston,KINGSTON,45
Knox,KNOX,48
Latrobe,LATROBE,35
Loddon,LODDON,8
Macedon Ranges,MACEDON RANGES,27
Manningham,MANNINGHAM,31
Mansfield,MANSFIELD,7
Maribyrnong,MARIBYRNONG,22
Maroondah,MAROONDAH,33
Melbourne,MELBOURNE,25
Melton,MELTON,48
Merri-bek,MERRI-BEK,45
Mildura,MILDURA,31
Mitchell,MITCHELL,17
Moira,MOIRA,20
Monash,MONASH,54
Moonee Valley,MOONEE VALLEY,36
Moorabool,MOORABOOL,18
Mornington Peninsula,MORNINGTON PENINSULA,49
Mount Alexander,MOUNT ALEXANDER,15
Moyne,MOYNE,12
Murrindindi,MURRINDINDI,14
Nillumbik,NILLUMBIK,27
Northern Grampians,NORTHERN GRAMPIANS,13
Port Phillip,PORT PHILLIP,22
Pyrenees,PYRENEES,9
Queenscliffe,QUEENSCLIFFE,3
South Gippsland,SOUTH GIPPSLAND,23
Southern Grampians,SOUTHERN GRAMPIANS,18
Stonnington,STONNINGTON,24
Strathbogie,STRATHBOGIE,8
Surf Coast,SURF COAST,13
Swan Hill,SWAN HILL,14
Towong,TOWONG,10
Wangaratta,WANGARATTA,23
Warrnambool,WARRNAMBOOL,15
Wellington,WELLINGTON,33
West Wimmera,WEST WIMMERA,5
Whitehorse,WHITEHORSE,49
Whittlesea,WHITTLESEA,61
Wodonga,WODONGA,16
Wyndham,WYNDHAM,71
Yarra,YARRA,28
Yarra Ranges,YARRA RANGES,78
Yarriambiack,YARRIAMBIACK,12